,clinton_adjusted,polling_weight,state,trump_adjusted,trump_clinton_win
2086,1.10515,0.27700544,36,-1.88683,0
2087,-1.38045,0.0140080111111,19,-0.5699,0
2088,0.68121,0.0131325869318,22,2.57086,1
2089,2.84947,0.01688346,36,3.34182,1
2090,-0.41811,0.0154737611111,17,0.41229,0
2091,7.0486,0.0298851904762,15,7.82933,0
2092,-1.66206,0.0826854722222,36,-3.11148,1
2093,6.92972,0.0115579428571,0,7.71413,0
2094,-0.17193,0.00588415409836,27,1.22181,0
2095,-1.29252,0.01638455,10,-0.68129,0
2096,6.87211,0.0380970305556,4,7.85544,1
2097,6.83557,0.0245912,44,7.57078,0
2098,6.89581,0.0367142777778,47,7.88735,1
2099,7.57768,0.00343815714286,38,8.90514,1
2100,7.36266,0.0111269877551,8,8.24628,1
2101,-0.43312,0.0165110703704,42,0.18652,0
2102,-0.2273,0.0228856222222,49,0.47493,1
2103,2.11527,0.0460280689655,36,2.75598,1
2104,-0.1179,0.0243578628866,36,1.72646,1
2105,1.23409,0.00544880597015,37,3.97523,1
2106,6.73351,0.0365835166667,21,7.66887,1
2107,0.88988,0.2094351,36,4.27729,1
2108,0.61776,0.168992195652,36,4.29846,1
2109,7.22876,0.0221059928571,17,8.04797,0
2110,-0.77648,0.0120933944444,55,0.00665,1
2111,0.39546,0.044765787234,48,0.87754,1
2112,0.10279,0.0189128444444,23,0.95077,1
2113,7.18229,0.0111469285714,2,8.02457,0
2114,-0.56069,0.0251557,16,-0.20077,0
2115,7.33252,0.0103624142857,41,8.20923,0
2116,7.67237,0.00313784920635,34,9.03636,1
2117,2.11971,0.0427545762712,36,2.78474,1
2118,7.8874,0.00245305079365,54,9.33435,1
2119,6.66427,0.039247325,51,7.57566,0
2120,7.45714,0.00382479107143,27,8.52329,0
2121,1.17528,0.233134461538,36,-1.93037,1
2122,-1.2012,0.0133164111111,2,-0.4556,0
2123,-0.44109,0.023347555,9,-0.12347,1
2124,-0.04828,0.0153284444444,11,0.56545,1
2125,6.74107,0.0353297777778,42,7.67905,1
2126,-1.1456,0.0178317313433,16,1.35649,1
2127,2.12971,0.0425254666667,36,2.8192,1
2128,-0.16027,0.0172167462963,15,0.46009,0
